,id,label,keyword,date,content,time,forward,comment,like,predict,__label__positive,__label__negative,__label__neutral,predict_score,topic,topic_keyword,topic_keyword_en
0,1,__label__positive,冠状病毒,2020-02-02,一百年 前 中国 人 战胜 了 鼠疫 还 开创 了 世界 防疫 史上 的 先河 伍林德 博士 作为 大清 的 总 防疫 官 还 被 提名 诺贝尔 医学奖 候选人 那么 今天 我们 一定 也 能 赢得 新型 冠状病毒 的 防疫 战 k 一千 九百 一十 哈尔滨 大 鼠疫 的 生死搏斗 主讲 严锴 旁白 邓冀源,2020-02-02 22:59:00,0,0,0,__label__negative,0.01134,0.69265,0.22271,0.69265,1.0,"聚集, 性, 二千, 发现, 家庭","Gather, Sex, Two thousand, Find, family"
1,3,__label__neutral,冠状病毒,2020-02-02,一张 图看 懂 冠状病毒 感冒 流感,2020-02-02 22:59:00,0,0,0,__label__neutral,1e-05,0.04086,0.97483,0.97483,1.0,"聚集, 性, 二千, 发现, 家庭","Gather, Sex, Two thousand, Find, family"
2,7,__label__positive,冠状病毒,2020-02-02,目前 已 初步 筛选 出 三种 治疗 药物 二日 湖北省 召开 新闻 发布会 湖北省 科技厅 厅长 王炜 在 会上 表示 目前 已 初步 筛选 出 三种 治疗 药物 在 细胞 层面 能 有效 地 抑制 新型 冠状病毒 的 复制 其 在 人体 上 的 作用 有待 临床试验 中 新 ​ ​ ​ 二 安康,2020-02-02 22:59:00,19,6,12,__label__positive,0.9831,0.01497,0.00219,0.9831,4.0,"药物, 治疗, 湖北省, 目前, 出","drug, treatment, Hubei Province, Currently, Out"
3,8,__label__neutral,冠状病毒,2020-02-02,国家 卫健委 发布 新型 冠状病毒 防控 指南 第一版 o 国家 卫健委 发布 新型 冠状病毒 防控 指南 第一版,2020-02-02 22:59:00,0,0,0,__label__neutral,0.00309,1e-05,1.00001,1.00001,2.0,"防控, 病毒, 酒精, 消毒液, 七十五","Prevention and control, virus, alcohol, disinfectant, seventy-five"
4,11,__label__positive,冠状病毒,2020-02-02,加油 武汉 支持 武汉 从我做起 新型 冠状病毒 疫情 爆发 后 武汉 成 了 哈尔滨 南站 全体 干部职工 最 牵挂 的 地方 大家 时刻 关注 疫情 发展 默默 在 心中 为 武汉 鼓劲 武汉 加油 武汉 挺住 武汉 安好 做好 自我 防护 做好 自己 工作 就是 对 武汉 的 有力 支持 ​ ​ ​,2020-02-02 22:59:00,0,0,1,__label__negative,0.05034,0.8933200000000001,0.00886,0.8933200000000001,3.0,"零, 武汉, 患者, 二千, 加油","zero, Wuhan, patient, Two thousand, Come on"
5,18,__label__neutral,冠状病毒,2020-02-02,三十九 共抗 疫情 精选 防疫 必备 仁和 医用 七十五 酒精 消毒液 可领 五张 卷 大牌 仁和 医用 七十五 浓度 酒精 消毒液 国家 卫健委 专家 新型 冠状病毒 不耐高温 能 被 七十五 的 酒精 杀死 防疫 期间 杀菌 抑菌 必备品 赠 运费 险,2020-02-02 22:59:00,0,1,0,__label__neutral,0.14415999999999998,0.01641,0.94166,0.94166,2.0,"防控, 病毒, 酒精, 消毒液, 七十五","Prevention and control, virus, alcohol, disinfectant, seventy-five"
6,22,__label__negative,冠状病毒,2020-02-02,一月 十九日 咳嗽 没治疗 三十一日 感觉 不舒服 去 医院 查血 crp 高 怀疑 冠状病毒 到 医院 检查 肺部 ct 双肺 感染 严重 爸去 社区 报备 社区 明天 才 联系 我 我 带 着 孩子 在家 隔离 无法 去 父母 的 小区 爸 现在 食欲 差 躺 床上 不能 吃 他目 情况 很 危急 但 我们 无法 做 检测 澳门路 湖边 坊 一百四十 号 我 的 电话 是 一百五十 八亿 二千 七百 一十五万 五千 四百八十 八请 帮,2020-02-02 20:45:00,0,0,1,__label__negative,0.0927,0.25092,0.19684,0.25092,3.0,"零, 武汉, 患者, 二千, 加油","zero, Wuhan, patient, Two thousand, Come on"
7,30,__label__negative,冠状病毒,2020-02-02,冠状病毒 就 两字 不言不语 也 能治 其实 未来 风浪 中 这 都 应该 不叫,2020-02-02 20:36:00,0,0,1,__label__negative,0.00574,0.96887,0.00507,0.96887,4.0,"药物, 治疗, 湖北省, 目前, 出","drug, treatment, Hubei Province, Currently, Out"
8,43,__label__negative,冠状病毒,2020-02-02,说得对 我们 最大 的 敌人 是 恐,2020-01-31 16:27:00,0,0,0,__label__negative,1e-05,1.00001,1e-05,1.00001,4.0,"药物, 治疗, 湖北省, 目前, 出","drug, treatment, Hubei Province, Currently, Out"
9,44,__label__negative,冠状病毒,2020-02-02,时间 二千 零 二十年 二月 二日 地点 中国 武汉 武昌 大学城 一个 不起眼 的 位置 大多数 业主 都 是 新 武汉 人 大疫 当前 虽然 是 新春佳节 但 大多数 人 还是 选择 留在 了 武汉 与 自己 的 第二 故乡 站 在 一起 经历 过 初期 的 恐慌 经历 过 物资 的 缺乏的 紧张 这么 多天 大家 熬过来 了 自觉遵守 规则 关门闭户 期待 着 春暖花开 武 ​ ,2020-02-02 22:59:00,0,0,1,__label__negative,0.03211,0.51563,0.15611,0.51563,1.0,"聚集, 性, 二千, 发现, 家庭","Gather, Sex, Two thousand, Find, family"
