,content,end_time,start_time,count,alive_time,start_mnth_day,end_mnth_day
6401,惊蛰,2020-03-05 15:40:01,2019-10-26 20:08:02,444127,3139.5330555555556,2019-10-26,2020-03-05
6036,天天向上,2020-03-02 10:38:02,2019-10-27 23:08:02,1750818,3035.5,2019-10-27,2020-03-02
5240,快乐大本营,2020-02-29 22:22:01,2019-10-26 20:08:02,1655857,3026.2330555555554,2019-10-26,2020-02-29
6121,詹姆斯三双,2020-03-02 12:38:02,2019-11-02 12:28:02,250208,2904.1666666666665,2019-11-02,2020-03-02
5996,粉笔模考,2020-03-01 14:00:02,2019-11-03 11:28:01,1122536,2858.533611111111,2019-11-03,2020-03-01
6094,上海地铁,2020-03-02 16:48:02,2019-11-06 09:28:01,648040,2815.333611111111,2019-11-06,2020-03-02
6443,李佳琦,2020-03-06 08:50:01,2019-11-10 18:30:01,443131,2798.3333333333335,2019-11-10,2020-03-06
3314,北京地铁,2020-02-17 14:22:01,2019-10-28 09:28:01,885386,2692.9,2019-10-28,2020-02-17
4612,地震,2020-02-16 12:40:01,2019-10-28 02:16:01,571710,2674.4,2019-10-28,2020-02-16
4026,股市,2020-02-28 15:36:02,2019-11-11 10:38:02,481997,2620.9666666666667,2019-11-11,2020-02-28
5950,易烊千玺 封面,2020-03-01 09:28:02,2019-11-18 11:54:01,503322,2493.5669444444443,2019-11-18,2020-03-01
5653,半藏森林,2020-02-27 09:00:02,2019-11-19 16:18:02,444598,2392.7,2019-11-19,2020-02-27
3276,主持人大赛,2020-02-03 08:10:02,2019-10-26 21:54:01,404534,2386.2669444444446,2019-10-26,2020-02-03
5548,李佳琦小助理,2020-02-26 08:04:01,2019-11-18 21:56:02,807767,2386.1330555555555,2019-11-18,2020-02-26
3866,月亮,2020-03-03 07:00:02,2019-11-28 19:08:02,625142,2291.866666666667,2019-11-28,2020-03-03
5378,新闻联播,2020-02-24 04:00:02,2019-11-20 20:24:02,271029,2287.6,2019-11-20,2020-02-24
