,content,end_time,start_time,count,alive_time,start_mnth_day,end_mnth_day,rank,inside_text
2599,安徽出现聚集性疫情,2020-01-27 19:18:01,2020-01-27 10:42:02,16360270,8.599722222222223,2020-01-27,2020-01-27,NO.1,安徽出现聚集性疫情   Search count:16360270
3048,双黄连可抑制新型冠状病毒,2020-02-01 14:22:02,2020-01-31 23:10:02,16134192,15.2,2020-01-31,2020-02-01,NO.2,双黄连可抑制新型冠状病毒   Search count:16134192
3645,湖北副省长回应武汉市民网络求助,2020-02-07 14:44:01,2020-02-06 22:28:02,15248291,16.26638888888889,2020-02-06,2020-02-07,NO.3,湖北副省长回应武汉市民网络求助   Search count:15248291
2351,全国确诊新型肺炎病例,2020-01-30 14:02:01,2020-01-22 23:26:02,14972975,182.59972222222223,2020-01-22,2020-01-30,NO.4,全国确诊新型肺炎病例   Search count:14972975
2400,新加坡抵杭州一架航班所有乘客隔离,2020-01-25 18:00:02,2020-01-25 10:30:01,13061134,7.500277777777778,2020-01-25,2020-01-25,NO.5,新加坡抵杭州一架航班所有乘客隔离   Search count:13061134
2549,500万人离开武汉,2020-01-27 12:48:01,2020-01-26 22:44:02,11412070,14.06638888888889,2020-01-26,2020-01-27,NO.6,500万人离开武汉   Search count:11412070
3147,湖南禽流感,2020-02-02 13:06:01,2020-02-01 22:26:01,10822673,14.666666666666666,2020-02-01,2020-02-02,NO.7,湖南禽流感   Search count:10822673
2301,湖北一家三口去山东过年被举报,2020-01-24 20:20:02,2020-01-24 10:54:02,10554971,9.433333333333334,2020-01-24,2020-01-24,NO.8,湖北一家三口去山东过年被举报   Search count:10554971
2105,新型肺炎确诊440例死亡9例,2020-01-22 18:48:02,2020-01-22 10:30:01,10231631,8.300277777777778,2020-01-22,2020-01-22,NO.9,新型肺炎确诊440例死亡9例   Search count:10231631
2600,浙江成功分离到新型冠状病毒毒株,2020-01-27 18:14:02,2020-01-27 09:22:01,10025927,8.866944444444444,2020-01-27,2020-01-27,NO.10,浙江成功分离到新型冠状病毒毒株   Search count:10025927
2601,科比直升机失事原因,2020-01-28 03:20:02,2020-01-27 11:18:02,8824066,16.033333333333335,2020-01-27,2020-01-28,NO.11,科比直升机失事原因   Search count:8824066
2153,新型肺炎已致湖北17人死亡,2020-01-23 12:44:02,2020-01-22 22:46:02,8644255,13.966666666666667,2020-01-22,2020-01-23,NO.12,新型肺炎已致湖北17人死亡   Search count:8644255
4293,湖北省委主要负责同志职务调整,2020-02-14 11:36:02,2020-02-13 11:36:02,8559910,24.0,2020-02-13,2020-02-14,NO.13,湖北省委主要负责同志职务调整   Search count:8559910
2251,广东启动重大突发公共卫生事件一级响应,2020-01-24 10:46:01,2020-01-23 22:44:02,8228748,12.033055555555556,2020-01-23,2020-01-24,NO.14,广东启动重大突发公共卫生事件一级响应   Search count:8228748
2202,澳门取消所有春节庆祝活动,2020-01-23 22:52:01,2020-01-23 11:08:02,7879944,11.733055555555556,2020-01-23,2020-01-23,NO.15,澳门取消所有春节庆祝活动   Search count:7879944
2302,囧妈初一上线免费播出,2020-01-24 12:38:02,2020-01-24 11:02:01,7768150,1.6002777777777777,2020-01-24,2020-01-24,NO.16,囧妈初一上线免费播出   Search count:7768150
2699,全国累计确诊病例4515例,2020-01-28 19:02:02,2020-01-28 10:40:02,7501900,8.366666666666667,2020-01-28,2020-01-28,NO.17,全国累计确诊病例4515例   Search count:7501900
3197,最早发现疫情的武汉女医生,2020-02-02 20:50:01,2020-02-02 11:00:02,7102696,9.833055555555555,2020-02-02,2020-02-02,NO.18,最早发现疫情的武汉女医生   Search count:7102696
6028,肖战工作室道歉,2020-03-02 14:00:02,2020-03-01 21:48:01,7102556,16.200277777777778,2020-03-01,2020-03-02,NO.19,肖战工作室道歉   Search count:7102556
2203,广东发现6起家庭聚集性疫情,2020-01-23 21:00:02,2020-01-23 11:32:02,6760344,9.466666666666667,2020-01-23,2020-01-23,NO.20,广东发现6起家庭聚集性疫情   Search count:6760344
