,Unnamed: 0,flatten_words,flatten_words_en,number,count,alive_time
0,6496,肺炎,pneumonia,334,333333816,3135.83
1,5957,确诊,Confirmed diagnosis,258,270412364,2069.534167
2,4971,武汉,Wuhan,251,253055420,5469.628333
3,4330,新型,New,175,224669305,1876.430556
4,5753,病例,Case,209,214351303,1678.365
5,5743,疫情,epidemic,144,162203976,2604.096111
6,4324,新冠,New crown,155,161492930,1350.164444
7,5304,湖北,Hubei,138,153489639,1379.736944
8,1971,口罩,Mask,150,141345300,1715.797222
9,4331,新增,New,186,121223031,1192.163056
10,1217,全国,Nationwide,78,111804529,811.4680556
11,3663,患者,patient,95,101194331,851.6988889
12,2305,回应,Respond,98,95681410,1023.100556
13,594,中国,China,119,93182898,1551.299722
14,5761,病毒,virus,56,82489369,595.9319444
15,1345,冠状病毒,Coronavirus,45,79250247,520.7997222
16,3706,感染,infection,70,75834754,660.7302778
17,6222,累计,Grand total,71,71364488,509.4016667
18,7855,隔离,isolation,48,66995522,404.0688889
19,1664,北京,Beijing,59862657,2649.101389,
